"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"apartments","5","2023-09-01T09:29:47.000","9","5","202308315757","R-2","2023-09-08T04:14:49.000","3 window replacement side building not facing the street","Y","1500","Palm","2","Av","","026","","2023-08-31T15:41:57.000","","2023-09-01T09:29:47.000","0","","1039","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Presidio Heights","R-2","otc alterations permit","2023-09-01T09:25:48.000","8","2023-08-31T00:00:00.000","94118","1677380413052","wood frame (5)","0","N","1500","80","apartments","9","{""coordinates"":[-122.457605185,37.784325521],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-31T10:52:39.000","3","5","202308315694","R-2","2023-09-08T04:14:49.000","installation of 2"" dedicated fire service per nfpa 24. ref # 202207229128.","Y","0","20th","8","St","","014","","2023-08-31T10:52:39.000","Y","","2","","2698","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Castro/Upper Market","R-3","otc alterations permit","2023-08-31T11:36:47.000","8","2023-08-31T00:00:00.000","94114","1677328388448","wood frame (5)","","N","7000","4416","2 family dwelling","2","{""coordinates"":[-122.437235055,37.75777604],""type"":""Point""}","A","filed","wood frame (5)"
"1 family dwelling","5","2023-08-31T10:09:19.000","1","5","202308315681","R-3","2023-09-08T04:14:49.000","replace (3) street facing windows and (6) street vsibile windows at rear (e) aluminum (n) wood clad: <.30 max","Y","0","Lamartine","11","St","","006","","2023-08-31T10:09:19.000","","","0","","6784","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-08-31T13:01:05.000","8","2023-08-31T00:00:00.000","94112","1677299213093","wood frame (5)","","N","66717","72","1 family dwelling","1","{""coordinates"":[-122.433498186,37.730986623],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-31T12:53:35.000","1","5","202308315712","R-3","2023-09-08T04:14:49.000","reroofing-1125 sqft.","Y","16000","Lois","10","Ln","","074","","2023-08-31T11:42:42.000","","2023-08-31T12:53:35.000","0","","5054A","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bayview Hunters Point","R-3","otc alterations permit","2023-08-31T12:53:09.000","8","2023-08-31T00:00:00.000","94134","1677331398362","wood frame (5)","0","N","16000","38","1 family dwelling","1","{""coordinates"":[-122.398681687,37.713472626],""type"":""Point""}","","issued","wood frame (5)"
"nite club","5","2023-09-07T11:15:11.000","2","5","202308315726","A-2,R-3","2023-09-08T04:14:49.000","installation of new 4"" fire line & connect to (e) building fire riser. backflow and connection to the building is by interior or fire sprinkler contractor.","","4200","Castro","8","St","","008","","2023-08-31T12:29:43.000","Y","2023-09-07T11:15:11.000","2","","2647","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Castro/Upper Market","A-2,R-3","otc alterations permit","2023-09-07T11:09:41.000","8","2023-08-31T00:00:00.000","94114","1677347382329","wood frame (5)","","N","30000","456","nite club","2","{""coordinates"":[-122.435431509,37.761602439],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T15:07:28.000","1","5","202308315749","R-3","2023-09-08T04:14:49.000","rear decking repair approx. 115 sf","Y","15000","Keystone","7","Wy","","007","","2023-08-31T14:49:39.000","","2023-08-31T15:07:28.000","0","","3281","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-31T15:05:32.000","8","2023-08-31T00:00:00.000","94127","1677372155832","wood frame (5)","","N","15000","81","1 family dwelling","1","{""coordinates"":[-122.46288322,37.727590971],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-31T10:33:45.000","45","5","202308315676","R-2","2023-09-08T04:14:49.000","reroofing","Y","10000","Franklin","2","St","","020","","2023-08-31T09:42:11.000","","2023-08-31T10:33:45.000","0","","0624","in-house","parcel_centroid","","15","15","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-08-31T10:27:16.000","8","2023-08-31T00:00:00.000","94109","167729476616","wood frame (5)","101","N","10000","1835","apartments","45","{""coordinates"":[-122.424607633,37.791564419],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-06T14:31:17.000","18","5","202308315660","R-2","2023-09-08T04:14:49.000","remove and replace stucco at rear facade of unit 351,353,355, 361, 365. replace dry rotted structural framing in kind.","Y","45000","Geneva","11","Av","","136","HOA","2023-08-31T08:31:10.000","","2023-09-06T14:31:17.000","0","","6423","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Excelsior","R-2","otc alterations permit","2023-09-06T14:14:59.000","8","2023-08-31T00:00:00.000","94134","1677274255292","wood frame (5)","","N","45000","1750","apartments","18","{""coordinates"":[-122.426264528,37.710229793],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","3","2023-08-31T13:14:04.000","2","3","202308315710","A-2","2023-09-08T04:14:49.000","demo two section of pipe exposed below new ceiling, replace all (e) painted sprinkler head (31)","Y","18633","Steiner","2","St","","022","","2023-08-31T11:41:03.000","Y","2023-08-31T13:14:04.000","2","","0491","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Marina","A-2","otc alterations permit","2023-08-31T13:09:39.000","8","2023-08-31T00:00:00.000","94123","167733071794","constr type 3","","N","2120","3352","food/beverage hndlng","2","{""coordinates"":[-122.437561787,37.800448628],""type"":""Point""}","","issued","constr type 3"
"","2","2023-08-31T09:00:56.000","","","202308315651","","2023-09-08T04:14:49.000","install electric single faced wall sign   (wells fargo)","Y","5000","Battery","3","St","","015","","2023-08-31T07:48:42.000","","2023-08-31T09:00:56.000","2","","0237","in-house","parcel_centroid","","10","","2023-09-07T23:55:00.000","Financial District/South Beach","B","sign - erect","2023-08-31T08:54:17.000","4","2023-08-31T00:00:00.000","94111","1677266385532","","","N","5000","292","lending institution","","{""coordinates"":[-122.399926701,37.794030396],""type"":""Point""}","","issued","constr type 2"
"apartments","3","2023-08-31T13:18:01.000","60","3","202308315728","R-2","2023-09-08T04:14:49.000","unit #403: mold repair in appartment, treat extg mold. removing sheet rock. replacing with new  sheetrock. taping and painting.","Y","15000","Geary","5","St","","018","","2023-08-31T12:40:58.000","","2023-08-31T13:18:01.000","0","","0317","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Tenderloin","R-2","otc alterations permit","2023-08-31T13:13:01.000","8","2023-08-31T00:00:00.000","94102","1677349233816","constr type 3","","N","15000","565","apartments","60","{""coordinates"":[-122.412535436,37.786528528],""type"":""Point""}","","issued","constr type 3"
"apartments","5","2023-08-31T13:14:19.000","3","5","202308315739","R-2","2023-09-08T04:14:49.000","convert existing 583 sqft space into an adu. renovate (e) space with (n) plumbing fixtures & cabinets (n) electrical to current code (n) led lighting (n) flooring, wall & ceiling finish (n) mini split hvac (n) tankless water heater (n) dbl. 30"" x 6'8"" sliding glass door. no site work. no change to e","","","38th","1","Av","","038","","2023-08-31T13:14:19.000","","","1","","1680","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","additions alterations or repairs","2023-09-07T11:08:14.000","3","2023-08-31T00:00:00.000","94121","1677362504853","wood frame (5)","","Y","145750","868","2 family dwelling","2","{""coordinates"":[-122.497831527,37.772578555],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-08-31T11:40:51.000","4","5","202308315696","R-2","2023-09-08T04:14:49.000","reroofing","Y","13800","09th","1","Av","","027","","2023-08-31T10:58:32.000","","2023-08-31T11:40:51.000","0","","1536","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Inner Richmond","R-2","otc alterations permit","2023-08-31T11:32:43.000","8","2023-08-31T00:00:00.000","94118","1677314396819","wood frame (5)","0","N","13800","456","apartments","4","{""coordinates"":[-122.467089228,37.779809388],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T11:18:57.000","1","5","202308315703","R-3","2023-09-08T04:14:49.000","replace (2) street facing windows and (2) at rear non street visible. (e) aluminum (n) wood clad and wood comp.","Y","0","Moultrie","9","St","","029","","2023-08-31T11:18:57.000","","","0","","5742","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bernal Heights","R-3","otc alterations permit","2023-08-31T13:30:55.000","8","2023-08-31T00:00:00.000","94110","1677322188315","wood frame (5)","","N","20130","707","1 family dwelling","1","{""coordinates"":[-122.415890041,37.735861151],""type"":""Point""}","","filed","wood frame (5)"
"manufacturing","3","2023-08-31T14:15:34.000","","3","202308315745","B,F-2,A-3","2023-09-08T04:14:49.000","deferred interior stair permit for issued bpa 202101122525","Y","0","Brannan","6","St","","004E","","2023-08-31T14:15:34.000","","","2","","3780","in-house","parcel_centroid","","2","3","2023-09-07T23:55:00.000","South of Market","B,F-2,A-3","otc alterations permit","2023-08-31T14:29:07.000","8","2023-08-31T00:00:00.000","94103","1677368167558","constr type 3","","N","340000","828","office","","{""coordinates"":[-122.404157805,37.772752486],""type"":""Point""}","","filed","constr type 3"
"retail sales","3","2023-09-05T15:31:28.000","0","3","202308315705","M,B","2023-09-08T04:14:49.000","revision to 202305097444. due to reduction in scope, fire alarm and fire sprinkler modification not required. cover sheet note updated per inspector in-field instruction.","Y","1","Geary","3","St","","008","","2023-08-31T11:22:51.000","","2023-09-05T15:31:28.000","2","","0309","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Financial District/South Beach","M,B","otc alterations permit","2023-09-05T15:28:57.000","8","2023-08-31T00:00:00.000","94108","167732469277","constr type 3","","N","1","152","retail sales","0","{""coordinates"":[-122.405939439,37.787912368],""type"":""Point""}","","issued","constr type 3"
"1 family dwelling","5","2023-08-31T10:53:16.000","1","5","202308315690","R-3","2023-09-08T04:14:49.000","to obtain final inspection for work approved under pa# 201802090969 and 201810294389","Y","1","48th","4","Av","","002C","","2023-08-31T10:43:00.000","","2023-08-31T10:53:16.000","0","","2086","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-31T10:49:39.000","8","2023-08-31T00:00:00.000","94116","1677308125258","wood frame (5)","","N","1","1941","1 family dwelling","1","{""coordinates"":[-122.507602947,37.750196607],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-08-31T12:04:25.000","1","5","202308315720","R-3","2023-09-08T04:14:49.000","replace (1) entry door at rear. non street visible: (e) wood (n) steel clad: no size change <.30max","Y","0","Bella Vista","7","Wy","","024","","2023-08-31T12:04:25.000","","","0","","3001","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-31T12:05:30.000","8","2023-08-31T00:00:00.000","94127","1677340149592","wood frame (5)","","N","5758","481","1 family dwelling","1","{""coordinates"":[-122.451399835,37.73541533],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-31T15:42:41.000","1","5","202308315758","R-3","2023-09-08T04:14:49.000","revision to 202307061583. repair deck in same size & same location.","Y","0","17th","7","Av","","019","","2023-08-31T15:42:41.000","","","2","","2417","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T12:25:14.000","8","2023-08-31T00:00:00.000","94116","1677381135233","wood frame (5)","","N","10000","2538","1 family dwelling","1","{""coordinates"":[-122.473041463,37.740536652],""type"":""Point""}","","filed","wood frame (5)"
"office","1","2023-08-31T10:20:53.000","","1","202308315686","B","2023-09-08T04:14:49.000","4/f: addition of 2 fire sprinkler to 2 phone booths.","Y","3000","California","3","St","","032","","2023-08-31T10:20:53.000","Y","","2","","0258","in-house","parcel_centroid","","22","22","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T10:34:50.000","8","2023-08-31T00:00:00.000","94108","167730566051","constr type 1","","N","3000","601","office","","{""coordinates"":[-122.404685586,37.792359393],""type"":""Point""}","","filed","constr type 1"
"retail sales","5","2023-09-06T11:13:33.000","3","5","202308315716","R-2,B,M","2023-09-08T04:14:49.000","install power door operator per information sheet da-04/05 and related exterior landing to provide a glush transtion with the elevated interior landing/floor.comply w/ abe 202209134226","Y","3500","Clement","1","St","","045","","2023-08-31T11:52:55.000","","2023-09-06T11:13:33.000","2","","1451","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Outer Richmond","R-2,B,M","otc alterations permit","2023-09-06T11:11:13.000","8","2023-08-31T00:00:00.000","94121","1677336100279","wood frame (5)","","N","3500","1823","retail sales","3","{""coordinates"":[-122.478831684,37.782045377],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-31T09:15:54.000","6","5","202308315672","R-2","2023-09-08T04:14:49.000","replace existing rear yard retaining wall due to damage, the existing retaining wall varies in height 3'-5'.","Y","0","Page","5","St","","029","","2023-08-31T09:15:54.000","","","2","","1237","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-09-06T10:05:44.000","8","2023-08-31T00:00:00.000","94117","1677290411136","wood frame (5)","0","N","20000","1051","apartments","6","{""coordinates"":[-122.438114285,37.771804129],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","","2023-08-30T18:52:30.000","","","202308305646","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","28500","Castro","8","St","","002","","2023-08-30T18:51:38.000","","2023-08-30T18:52:30.000","0","","2612","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Castro/Upper Market","R-3","otc alterations permit","2023-08-30T18:51:40.000","8","2023-08-30T18:51:38.000","94114","1677262139285","","","N","28500","150","2 family dwelling","","{""coordinates"":[-122.435886332,37.766392252],""type"":""Point""}","","issued",""
"office","1","2023-08-31T11:03:17.000","","1","202308305644","B,M","2023-09-08T04:14:49.000","21/f: removal of non-structural partitions, light fixtures, millwork, plumbing fixtures, and finishes. new temp. lighting to provide code complaint lighting coverage throughouts per ab-017. exception to requirement for disabled access to vacant spaces suite to remain unoccupied.","Y","188000","Montgomery","3","St","","001","","2023-08-30T16:10:50.000","","2023-08-31T11:03:17.000","2","","0269","in-house","parcel_centroid","","31","31","2023-09-07T23:55:00.000","Financial District/South Beach","B,M","otc alterations permit","2023-08-31T11:01:05.000","8","2023-08-30T16:10:50.000","94104","167726066177","constr type 1","","N","188000","235","office","","{""coordinates"":[-122.402843617,37.791402129],""type"":""Point""}","","issued","constr type 1"
"2 family dwelling","","2023-08-30T16:08:48.000","","","202308305643","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","21520","38th","4","Av","","035","","2023-08-30T16:07:39.000","","2023-08-30T16:08:48.000","0","","2459","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T16:07:39.000","8","2023-08-30T16:07:39.000","94116","1677259137075","","","N","21520","2666","2 family dwelling","","{""coordinates"":[-122.495374286,37.737196135],""type"":""Point""}","","issued",""
"2 family dwelling","5","2023-08-30T15:42:01.000","2","5","202308305637","R-3","2023-09-08T04:14:49.000","legalize 9 replacement windows on rear of bldg per dbi physical inspection # cc8584, item# 3.","","4500","Grove","5","St","","002H","","2023-08-30T15:42:01.000","","","2","","1202","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-3","otc alterations permit","2023-09-06T13:56:04.000","8","2023-08-30T15:42:01.000","94117","1677253469803","wood frame (5)","","N","1","1245","2 family dwelling","2","{""coordinates"":[-122.437016238,37.775733776],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-30T15:42:01.000","2","5","202308305637","R-3","2023-09-08T04:14:49.000","legalize 9 replacement windows on rear of bldg per dbi physical inspection # cc8584, item# 3.","Y","4500","Grove","5","St","","002H","","2023-08-30T15:42:01.000","","","2","","1202","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-3","otc alterations permit","2023-09-06T13:56:04.000","8","2023-08-30T15:42:01.000","94117","167725292245","wood frame (5)","","N","1","1243","2 family dwelling","2","{""coordinates"":[-122.437016238,37.775733776],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","","2023-08-30T14:07:29.000","","","202308305616","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","18870","46th","4","Av","","014","","2023-08-30T14:05:47.000","","2023-08-30T14:07:29.000","0","","1897","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T14:05:47.000","8","2023-08-30T14:05:47.000","94122","1677228119361","","","N","18870","1655","2 family dwelling","","{""coordinates"":[-122.505920919,37.755646112],""type"":""Point""}","","issued",""
"2 family dwelling","","2023-08-30T13:42:38.000","","","202308305611","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","17833","29th","4","Av","","010A","","2023-08-30T13:41:12.000","","2023-08-30T13:42:38.000","0","","1914","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-30T13:41:12.000","8","2023-08-30T13:41:12.000","94122","1677223120221","","","N","17833","1675","2 family dwelling","","{""coordinates"":[-122.487678248,37.756109579],""type"":""Point""}","","issued",""
"food/beverage hndlng","5","2023-08-31T10:44:19.000","0","5","202308305579","B","2023-09-08T04:14:49.000","to comply with abe ord 51-16 program. abe #202304056650. replace door hardware, add kick plate, add power door operator with push bar at exterior. add electrical outlet near door (restaurant)","Y","3000","Diamond","8","St","","025","","2023-08-30T10:58:22.000","","2023-08-31T10:44:19.000","2","","6744","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Glen Park","B","otc alterations permit","2023-08-31T10:42:44.000","8","2023-08-30T10:58:21.000","94131","1677188352500","wood frame (5)","","N","3000","2842","food/beverage hndlng","0","{""coordinates"":[-122.434244187,37.734058862],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-31T09:31:10.000","3","5","202308305575","R-2","2023-09-08T04:14:49.000","repair and replace insullation, drywall from fire and water damage, in kitchen, bathroom, and bedroom. reinstalling cabinets and appliances.","Y","78000","Buchanan","5","St","","044","","2023-08-30T10:48:05.000","","2023-08-31T09:31:10.000","0","","0819","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-2","otc alterations permit","2023-08-31T09:27:39.000","8","2023-08-30T10:48:05.000","94102","1677185438217","wood frame (5)","0","N","78000","612","apartments","3","{""coordinates"":[-122.427546641,37.775578769],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","","2023-09-06T14:09:05.000","","","202308305561","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","5500","Bright","11","St","2023-09-06T14:09:05.000","017","","2023-08-30T09:29:12.000","","2023-08-30T09:29:57.000","0","","6990","website","parcel_centroid","","","","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-08-30T09:29:13.000","8","2023-08-30T09:29:12.000","94132","1677169216566","","","N","5500","525","2 family dwelling","","{""coordinates"":[-122.463842891,37.72022185],""type"":""Point""}","","complete",""
"2 family dwelling","","2023-08-30T09:18:29.000","","","202308305556","R-3","2023-09-08T04:14:49.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","9500","14th","7","Av","","015","","2023-08-30T09:13:52.000","","2023-08-30T09:18:29.000","0","","2204","website","parcel_centroid","","","","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-08-30T09:13:52.000","8","2023-08-30T09:13:52.000","94116","1677165129883","","","N","9500","2178","2 family dwelling","","{""coordinates"":[-122.470193,37.747453872],""type"":""Point""}","","issued",""
"apartments","5","2023-08-30T09:28:14.000","3","5","202308305559","R-2","2023-09-08T04:14:49.000","upgrade fire alarm system to current codes, nfpa 70 (2022), to comply with sffc sec. 1103.7.6.1 to provide low frequency sounders in sleeping areas.","Y","","Hickory","5","St","","008","","2023-08-30T09:28:14.000","Y","","2","","0830","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-2","additions alterations or repairs","2023-08-30T11:14:01.000","3","2023-08-30T00:00:00.000","94102","1677168237501","wood frame (5)","","N","5000","427","apartments","3","{""coordinates"":[-122.426487112,37.774788021],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-30T13:36:45.000","2","5","202308305610","R-3","2023-09-08T04:14:49.000","modify (2) entry doors into (1) door. vertical addition at center pitch roof not visible from street w/ roof deck at rear.  horizontal addition at the basement level at the rear of the building approximately 10' height.","Y","","Liberty","8","St","","049","","2023-08-30T13:36:45.000","","","2","Y","3607","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","additions alterations or repairs","2023-09-07T00:00:00.000","3","2023-08-30T00:00:00.000","94110","1677220161683","wood frame (5)","","N","250000","154","2 family dwelling","2","{""coordinates"":[-122.424670118,37.757736461],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-08-30T14:02:16.000","2","5","202308305614","R-3","2023-09-08T04:14:49.000","shoring plan, added to pa# 201806071297s","Y","0","Fell","5","St","","025","","2023-08-30T14:02:16.000","","","2","","0830","in-house","parcel_centroid","","2","3","2023-09-07T23:55:00.000","Hayes Valley","R-3","otc alterations permit","2023-08-30T14:27:17.000","8","2023-08-30T00:00:00.000","94102","167722682574","wood frame (5)","","N","1","535","2 family dwelling","2","{""coordinates"":[-122.426678514,37.775252892],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-08-30T11:51:56.000","3","5","202308305580","R-2","2023-09-08T04:14:49.000","replace tile and faucets in bathroom.","Y","500","Central","5","Av","","007","","2023-08-30T11:06:45.000","","2023-08-30T11:51:56.000","0","","1186","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Lone Mountain/USF","R-3","otc alterations permit","2023-08-30T11:49:14.000","8","2023-08-30T00:00:00.000","94117","167718991748","wood frame (5)","","N","500","625","2 family dwelling","2","{""coordinates"":[-122.444930253,37.775444165],""type"":""Point""}","","issued","wood frame (5)"
"food/beverage hndlng","5","2023-08-30T14:11:02.000","","5","202308305618","B","2023-09-08T04:14:49.000","change of use from office to cafe/ donut shop. adding some 220 wall outlets & 120 wall outlets for expresso machine. add 3 fl drains for sinks. painting walls new color","Y","0","Geary","1","Bl","","001","","2023-08-30T14:11:02.000","","","2","","1530","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","B","otc alterations permit","2023-08-30T14:43:53.000","8","2023-08-30T00:00:00.000","94118","1677231103060","wood frame (5)","","N","5000","5001","office","","{""coordinates"":[-122.473134578,37.780406166],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-30T15:09:07.000","1","5","202308305632","R-3","2023-09-08T04:14:49.000","revise previously approved pa 2022-1221-8873 refine lower level bathroom layout, foundation replacement & front window replacement. no change to plumbing fixture count","Y","10000","Roanoke","8","St","","002","","2023-08-30T15:09:07.000","","","2","","6728","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Glen Park","R-3","otc alterations permit","2023-08-31T09:58:09.000","8","2023-08-30T00:00:00.000","94131","1677246211468","wood frame (5)","","N","10000","6","1 family dwelling","1","{""coordinates"":[-122.431431632,37.736345902],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-08-30T15:18:25.000","1","5","202308305607","R-3","2023-09-08T04:14:49.000","install new sprinkler monitoring, new fire alarm control panel new radio communicator 1 smoke 1 pull station, 3 monitor modules  ref pa# 201902062206 sprinkler pa# 202201045314","Y","21598","Twin Peaks","7","Bl","","006","","2023-08-30T13:21:52.000","Y","2023-08-30T15:18:25.000","2","","2706","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Twin Peaks","R-3","otc alterations permit","2023-08-30T15:14:37.000","8","2023-08-30T00:00:00.000","94114","1677218142408","wood frame (5)","","N","4500","226","1 family dwelling","1","{""coordinates"":[-122.448740424,37.758552401],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T09:36:56.000","1","5","202308305589","R-3","2023-09-08T04:14:49.000","1/f: construct 2 new bathrooms, convert (e) office to bedroo, (n) media & bar and 2/f remodel of bathroom, construct (n) bathroom, remodel (e) kitchen and replace sheetrock in bedrooms and livring with 5/8in type x.","Y","188000","Moraga","4","St","","002F","","2023-08-30T11:43:36.000","","2023-09-07T09:36:56.000","2","","1912","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T09:36:54.000","8","2023-08-30T00:00:00.000","94122","1677197120134","wood frame (5)","","N","188000","2550","1 family dwelling","1","{""coordinates"":[-122.49026679,37.75565037],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-08-30T15:35:02.000","2","5","202308305636","R-3","2023-09-08T04:14:49.000","legalize ground floor storage and utility rooms per dbi physical inspection # c8584 item #2 and provide compliant handrails and guard at main entry stair per item #8","Y","1000","Grove","5","St","","002H","","2023-08-30T15:35:02.000","","","2","","1202","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-3","otc alterations permit","2023-09-06T13:51:09.000","8","2023-08-30T00:00:00.000","94117","167725092245","wood frame (5)","","N","1","1243","2 family dwelling","2","{""coordinates"":[-122.437016238,37.775733776],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-01T10:50:27.000","1","5","202308305630","R-3","2023-09-08T04:14:49.000","kitchen remodel like for like no wall /window.door altrations, new  cabinetsd counters appliances add outlets as needed to code","Y","50000","Merced","7","Av","","014A","","2023-08-30T15:04:31.000","","2023-09-01T10:50:27.000","0","","2886","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T10:42:41.000","8","2023-08-30T00:00:00.000","94127","1677244146558","wood frame (5)","","N","28000","180","1 family dwelling","1","{""coordinates"":[-122.462620482,37.743859375],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-08-30T09:59:27.000","5","5","202308305569","R-2","2023-09-08T04:14:49.000","fire system replacment & mandatory lf horns upgrade to meet sffc 2022 sec 11037.7.6.1.","Y","0","Page","5","St","","008","","2023-08-30T09:59:27.000","Y","","2","","1221","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-08-30T11:45:54.000","8","2023-08-30T00:00:00.000","94117","1677178240501","wood frame (5)","","N","22600","1300","apartments","5","{""coordinates"":[-122.442405062,37.771767389],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-08-31T09:31:36.000","3","5","202308305573","R-2","2023-09-08T04:14:49.000","remove and replace fire damaged, siding, windows,doors.","Y","98000","Buchanan","5","St","","042","","2023-08-30T10:34:35.000","","2023-08-31T09:31:36.000","0","","0819","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-2","otc alterations permit","2023-08-31T09:16:51.000","8","2023-08-30T00:00:00.000","94102","1677181452088","wood frame (5)","","N","98000","610","apartments","3","{""coordinates"":[-122.427546641,37.775578769],""type"":""Point""}","A","issued","wood frame (5)"
